Report ID,Report Version,Make,Model,Model Year,Mileage,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Precrash Speed (MPH),Within ODD?,CP Contact Area,Weather,SV Contact Area,Country
13781-4190,2,Tesla,Model Y,2021-01-01,23520.0,No,ADAS,2025-11-22,15:29:00,Houston,TX ,Street,Dry,No Unusual Conditions,45.0,Daylight,"Other, see Narrative",Unknown,Yes,Proceeding Straight,22.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Rear Left, Rear",Cloudy,"Front Left, Front",US
13781-4191,2,Tesla,Model 3,2020-01-01,55003.0,No,ADAS,2025-11-22,13:11:00,Fullerton,CA ,Highway / Freeway,Wet,No Unusual Conditions,65.0,Dark - Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,26.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Cloudy,"Left, Front Left, Front",US
13781-4192,2,Tesla,Model 3,2022-01-01,16192.0,No,ADAS,2025-11-22,11:01:00,Los Angeles,CA ,Highway / Freeway,Wet,No Unusual Conditions,65.0,Dark - Not Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,36.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Rear Left, Left, Front Left, Front",US
13781-4193,2,Tesla,Model 3,2022-01-01,13847.0,No,ADAS,2025-11-22,16:40:00,San Bernardino,CA ,Highway / Freeway,Wet,No Unusual Conditions,65.0,Daylight,Other Fixed Object,Unknown,Yes,Proceeding Straight,17.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Rear Right, Right, Front Right",US
13781-4194,2,Tesla,Model Y,2021-01-01,45519.0,No,ADAS,2025-11-22,15:26:00,Dos Palos,CA ,Highway / Freeway,Wet,No Unusual Conditions,65.0,Daylight,"Other, see Narrative",Unknown,Yes,Proceeding Straight,29.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Left, Front Left, Bottom",US
13781-4195,2,Tesla,Model X,2022-01-01,10036.0,No,ADAS,2025-11-22,23:08:00,Marfa,TX ,Street,Dry,No Unusual Conditions,55.0,Daylight,Passenger Car,Unknown,Yes,Proceeding Straight,33.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Left, Front Left, Front",Cloudy,"Right, Front Right",US
13781-4196,2,Tesla,Model Y,2021-01-01,27411.0,No,ADAS,2025-11-22,03:21:00,San Diego,CA ,Highway / Freeway,Wet,No Unusual Conditions,55.0,Dark - Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,28.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Front Left, Front, Front Right",US
13781-4197,2,Tesla,Model Y,2020-01-01,56523.0,No,ADAS,2025-11-22,10:06:00,Vista,CA ,Highway / Freeway,Wet,No Unusual Conditions,65.0,Dark - Lighted,Other Fixed Object,Unknown,Yes,Proceeding Straight,44.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,"Cloudy, Rain","Rear Left, Left, Front Left",US
13781-4199,2,Tesla,Model 3,2018-01-01,47710.0,No,ADAS,2025-10-20,20:30:00,Fairfax County,VA ,Highway / Freeway,Dry,No Unusual Conditions,,Daylight,Other Fixed Object,Serious,Yes,Proceeding Straight,,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,Missing,US
13781-42,2,Tesla,Model Y,2021-01-01,503.0,No,ADAS,2025-08-21,02:15:00,Torrance,CA ,Intersection,Dry,No Unusual Conditions,40.0,Daylight,Pole / Tree,Unknown,Yes,Making Left Turn,27.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,Front,US
